name,state,established,discontinued,latitude,longitude
ABBOTT,AR,1899.0,1973.0,35.0734293,-94.1938205
ABSECON,NJ,1847.0,null,39.4369236,-74.5158142
ACCORD,MA,1900.0,1968.0,42.1750522,-70.8879084
ACTON,ME,1833.0,1853.0,43.5340601,-70.9148934
ADAMSBURG,SC,1894.0,1960.0,34.7912451,-81.5428755
ADDISON,NY,1821.0,null,42.1139826,-77.2183354
ADELINE,LA,1897.0,1940.0,29.8729829,-91.590947
ADELL,MO,1874.0,1904.0,40.5313948,-93.6691114
AILEY,GA,1891.0,null,32.1864558,-82.5654564
AKERS,LA,1894.0,null,30.2910295,-90.4020293
AKRON,PA,1864.0,null,40.1590228,-76.2042673
ALBANY,VT,1824.0,1865.0,44.7313829,-72.3792938
ALBERTSON,NY,1928.0,null,40.7678239,-73.6475252
ALCOA,TN,1912.0,null,35.7663715,-83.9729326
ALDERBROOK,AR,1850.0,1880.0,35.7361886,-91.6798619
ALEMEDA,TN,1882.0,1901.0,36.099823,-82.9273749
ALENA,TN,1886.0,1895.0,36.0764778,-83.5068392
ALEXANDRIA,AL,1834.0,null,33.7675986,-85.8918914
ALGOA,AR,1910.0,1957.0,35.505915,-91.1167899
ALHAMBRA,MO,1902.0,1909.0,36.9294961,-90.0006491
ALHAMBRA,MS,1899.0,1914.0,33.0279017,-91.0601061
ALICE,MS,1891.0,1913.0,32.9109644,-89.2800679
ALL,MO,1899.0,1905.0,37.1806049,-93.0360117
ALLEN,PA,1828.0,null,40.1650903,-77.0841454
ALLENDALE,MO,1856.0,null,40.4840218,-94.2891965
ALLENS MILLS,PA,1874.0,1928.0,41.1995065,-78.9075328
ALLENTOWN,PA,1803.0,null,40.6030458,-75.4672371
ALLIANCE,MO,1889.0,1953.0,37.5622787,-89.9967752
ALLONS,TN,1896.0,null,36.4361737,-85.3471881
ALLRED,TN,1887.0,null,36.3286759,-85.1885736
ALLULA,AL,1883.0,1905.0,33.8237101,-86.1699754
ALMADANE,LA,1882.0,1933.0,30.9418614,-93.5048936
ALPHA,TN,1887.0,1928.0,36.1770353,-83.382672
ALPINE,AR,1849.0,1976.0,34.2289863,-93.3790695
ALTHOLM,PA,1913.0,1927.0,41.7533933,-79.3028249
ALTON,NY,1830.0,null,43.2113958,-76.9806326
ALTUS,MS,1906.0,1916.0,34.3409395,-89.3961887
ALVATON,GA,1908.0,null,33.1709559,-84.5804828
ALVORD,MO,1885.0,1910.0,40.4555639,-93.5954992
ANCELL,MO,1912.0,1960.0,37.2167175,-89.5245336
ANCILLA,GA,1878.0,1896.0,30.6654766,-83.8012739
ANDERSON,AL,1896.0,null,34.9253262,-87.2681746
ANDERTON,AL,1879.0,1890.0,33.9876866,-86.5823002
