name,state,established,discontinued,latitude,longitude
AARONSBURG,PA,1792,NA,40.8989672,-77.4521993
ABBOTT,AL,1886,1909,NA,NA
ABBOTT'S CORNERS,NY,1871,1891,NA,NA
ABERDEEN,PA,1898,1910,41.3586944,-75.4937961
ABINGTON,PA,1832,NA,40.1217074,-75.1190778
ACAHELA,PA,1930,1944,NA,NA
ACCORD,MA,1900,1968,42.1750522,-70.8879084
ACIE,AR,1910,1911,NA,NA
ACORN,AR,1892,1915,34.6428825,-94.2010437
ACTON,MA,1810,NA,42.4878373,-71.4246283
ACUSHNET,MA,1864,1907,41.6809264,-70.9090113
ADAMS RUN,SC,1843,NA,32.7200687,-80.34813
ADDISON,ME,1900,NA,44.6185708,-67.7450494
ADELIA,PA,1903,1934,NA,NA
ADEN,NY,1901,1919,41.8606459,-74.6732145
ADLER,AR,1881,1884,NA,NA
ADOX,MO,1884,1886,NA,NA
AFTON,TN,1891,1899,NA,NA
AGATE,GA,1881,1933,34.1650961,-85.2632862
AGATHA,MS,1906,1909,NA,NA
AGEE,MO,1894,1897,NA,NA
AGENCY,MS,1892,1907,33.3584561,-88.706161
AIDEN LAIR,NY,1868,1873,43.8717294,-74.0026389
AIR LINE,GA,1856,1907,34.3626042,-83.0304246
AJAX,TN,1900,1901,NA,NA
AKARD,MO,1890,1907,37.7067052,-93.7477089
AKERVILLE,AR,1848,1849,NA,NA
AKIN,GA,1900,1903,NA,NA
AKIN,NY,1882,1912,42.9584075,-74.2329093
ALACULSY,GA,1878,1914,34.9886889,-84.6329894
ALAHA,LA,1904,1904,31.5832265,-92.7723743
ALAMEDA,PA,1893,1893,NA,NA
ALBANY,MO,1857,NA,40.2476118,-94.3315187
ALBEMARLE,MS,1851,1856,NA,NA
ALBION,SC,1837,1914,NA,NA
ALEXANDRIA CENTRE,NY,1843,1855,44.3075516,-75.8760616
ALEXIS,LA,1817,1820,NA,NA
ALLANDALE,MS,1896,1903,33.3945657,-88.5311548
ALLENDALE,MO,1856,NA,40.4840218,-94.2891965
ALLENDALE,SC,1866,1919,NA,NA
ALLENSBURG,MS,1894,1903,34.1339973,-88.5961597
ALLPORT,PA,1885,NA,40.9648738,-78.2017184
ALLULA,AL,1883,1905,33.8237101,-86.1699754
ALPHA,LA,1857,1880,NA,NA
